tite,open_store,establish_time,cooperation_time,area_requirement
Daiso,直营,加盟,代理,1977年,8-10年,800-1200m²
H&M,直营,1947年,10-15年,800-2000m²
C&A,直营,1841年,8-10年,800-1200m²
凡人优品,直营,加盟,代理,1995年,5-10年,2000-3000m²
欧尚,--,1961年,15-20年,8000-15000m²
LANO,直营,2008年,1-3年,60-120m²
URBAN REVIVO,直营,加盟,代理,2006年,3-5年,1000-1500m²
hotwind,直营,1996年,3-5年,400-600m²
屈臣氏,直营,1841年,8-15年,220-250m²
Olé,直营,2004年,10-15年,2500-5000m²
家乐福,直营,1959年,10-20年,3000-15000m²
迪卡侬,直营,1976年,10-20年,2600-3000m²
The Green Party,直营,2014年,5-8年,200-400m²
百富烤霸,直营,加盟,1996年,5-10年,150-200m²
秦巴源,直营,2015年,5-8年,200-400m²
金童子,直营,1996年,1-3年,20-50m²
速度披萨,加盟,直营,2006年,1-3年,100-300m²
烤匠,直营,2013年,3-5年,250-350m²
星巴克臻选,直营,2010年,5-10年,800-1500m²
娜仁图雅蒙古美食村,直营,2007年,5-10年,300-500m²
云顶鲜,直营,--,5-8年,100-200m²
万岁寿司,直营,加盟,1999年,3-5年,150-300m²
功夫鸡排,直营,加盟,2009年,1-3年,10-20m²
中街1946,直营,1946年,1-3年,10-50m²
荷花亭,直营,2004年,3-5年,150-300m²
麦都,直营,加盟,1989年,3-5年,100-200m²
娜奴湾,直营,加盟,2004年,3-5年,30-80m²
醉巴鲜烤鱼,直营,2012年,3-5年,300-500m²
滋味烤鱼,直营,加盟,2005年,3-5年,200-400m²
云上渔乡,直营,2014年,3-5年,300-400m²
楼兰新疆主题餐厅,直营,2015年,3-5年,300-400m²
依立紫砂香饭,直营,2013年,1-3年,100-200m²
阿三生煎,直营,加盟,1990年,3-5年,200-300m²
张功馆,直营,2000年,3-5年,200-400m²
芒果萌,直营,加盟,2015年,2-3年,20-60m²
朱小乐的龙虾生活,直营,2014年,3-5年,150-250m²
牛百碗,直营,加盟,2010年,1-3年,80-150m²
克拉拉,直营,加盟,2012年,6-8年,300-400m²
万和春,直营,1941年,2-3年,100-200m²
谭鸭血,直营,加盟,2018年,3-5年,300-500m²
羊东家,直营,加盟,2014年,5-8年,800-1200m²
巴弟鸡排,直营,加盟,2009年,1-3年,15-30m²
燕庭,直营,2011年,3-5年,80-150m²
奉茶,直营,加盟,2016年,1-3年,30-100m²
美冒冒菜文艺小馆,直营,加盟,2014年,3-5年,40-120m²
第1佳,直营,加盟,2009年,1-3年,15-30m²
多瑞小镇,直营,加盟,2000年,1-3年,120-150m²
鲜滋先觉,直营,2009年,3-5年,20-40m²
杏花堂,直营,2015年,5-10年,260-460m²
状元王,直营,2012年,3-5年,90-120m²
豆记匠品,直营,1998年,3-5年,80-130m²
巴罗萨,直营,1997年,3-5年,250-300m²
孔雀川菜,直营,2013年,3-5年,300-600m²
虾吃虾涮,直营,加盟,2014年,1-3年,150-400m²
汤响自助回转火锅百汇,直营,加盟,2012年,3-5年,200-400m²
KOI,直营,2006年,3-5年,25-80m²
品尚品三汁焖锅,直营,2007年,5-8年,200-250m²
吃饭皇帝大,直营,加盟,2016年,3-5年,400-600m²
优之良品,直营,加盟,代理,1999年,1-3年,45-80m²
许小树,直营,2009年,2-3年,80-100m²
雷允上,直营,加盟,代理,1734年,3-5年,100-300m²
卡柏健康干洗,直营,加盟,代理,2002年,3-5年,50-80m²
迪迪鹿,直营,加盟,代理,1995年,3-5年,30-50m²
无限极,直营,加盟,1992年,1-3年,100-200m²
孩乐堡,直营,2014年,5-10年,400-800m²
秀婴孕婴,直营,2010年,3-5年,200-400m²
哈.贝比,直营,1998年,1-3年,60-200m²
星际小蚂蚁,直营,2015年,1-3年,1500-3000m²
小与宙光影奇妙乐园,直营,加盟,代理,2018年,5-10年,1000-2000m²
南国书香门第,直营,2004年,10-20年,1000-3000m²
望子成龙诠能素质成长中心,直营,1988年,5-8年,300-600m²
LE MONDE KIDS,直营,加盟,代理,2004年,1-3年,40-80m²
虹之汤,直营,1998年,10-20年,3000-5000m²
艾迪韦尔,直营,--,5-10年,2000-4000m²
娃娃总动员,直营,加盟,代理,2012年,3-5年,50-100m²
快乐街区,直营,2016年,5-8年,800-1000m²
沃抓抓,直营,2017年,1-3年,10-20m²
COVENANT舞契,直营,2017年,2-5年,200-300m²
